ts,date,open,high,low,close
1786176000,2026-08-08 08:00,64936.3,64988.2,64920.0,64963.2
1786179600,2026-08-08 09:00,64963.1,65026.9,64960.0,64960.1
1786183200,2026-08-08 10:00,64960.0,64996.3,64960.0,64980.6
1786186800,2026-08-08 11:00,64980.6,64995.6,64930.0,64938.5
1786190400,2026-08-08 12:00,64938.4,65024.7,64890.8,64973.8
1786194000,2026-08-08 13:00,64973.8,64994.6,64967.2,64985.4
1786197600,2026-08-08 14:00,64985.4,65163.0,64985.3,65100.0
1786201200,2026-08-08 15:00,65100.1,65123.8,65027.9,65049.3
1786204800,2026-08-08 16:00,65049.4,65088.0,65000.1,65056.1
1786208400,2026-08-08 17:00,65056.1,65123.1,65045.6,65086.2
1786212000,2026-08-08 18:00,65086.2,65094.1,65000.0,65015.3
1786215600,2026-08-08 19:00,65015.3,65089.2,64986.2,65045.5
1786219200,2026-08-08 20:00,65045.5,65059.1,65026.7,65046.9
1786222800,2026-08-08 21:00,65046.9,65046.9,64957.3,64989.8
1786226400,2026-08-08 22:00,64989.8,65012.8,64915.2,64915.2
1786230000,2026-08-08 23:00,64915.2,64954.1,64907.9,64928.5
1786233600,2026-08-09 00:00,64928.6,64957.7,64928.4,64952.9
1786237200,2026-08-09 01:00,64952.9,64982.4,64818.0,64838.4
1786240800,2026-08-09 02:00,64838.4,64838.4,64752.0,64798.0
1786244400,2026-08-09 03:00,64798.0,64798.0,64700.0,64759.0
1786248000,2026-08-09 04:00,64758.9,64806.3,64758.9,64759.8
1786251600,2026-08-09 05:00,64759.7,64777.9,64747.4,64777.9
1786255200,2026-08-09 06:00,64777.8,64835.0,64776.9,64822.9
1786258800,2026-08-09 07:00,64822.9,64827.8,64791.9,64793.6
1786262400,2026-08-09 08:00,64793.7,64911.1,64759.2,64792.5
1786266000,2026-08-09 09:00,64792.5,64850.9,64774.5,64850.9
1786269600,2026-08-09 10:00,64850.9,64948.7,64850.8,64927.4
1786273200,2026-08-09 11:00,64927.5,64978.0,64921.7,64921.8
1786276800,2026-08-09 12:00,64921.7,64928.5,64884.3,64928.5
1786280400,2026-08-09 13:00,64928.4,65245.5,64928.4,65194.9
1786284000,2026-08-09 14:00,65195.0,65279.9,65118.4,65237.3
1786287600,2026-08-09 15:00,65237.4,65240.9,65177.0,65207.7
1786291200,2026-08-09 16:00,65207.8,65243.1,65147.2,65204.6
1786294800,2026-08-09 17:00,65204.6,65212.8,65165.9,65170.0
1786298400,2026-08-09 18:00,65169.9,65200.0,65161.2,65167.1
1786302000,2026-08-09 19:00,65167.1,65188.6,65147.6,65153.2
1786305600,2026-08-09 20:00,65153.2,65161.4,65043.5,65114.1
1786309200,2026-08-09 21:00,65114.0,65229.9,65091.2,65165.0
1786312800,2026-08-09 22:00,65165.1,65482.7,64936.2,65046.3
1786316400,2026-08-09 23:00,65046.2,65080.3,64805.1,64867.8
1786320000,2026-08-10 00:00,64867.8,65300.0,64794.4,64945.3
1786323600,2026-08-10 01:00,64945.3,65373.6,64864.0,65172.9
1786327200,2026-08-10 02:00,65172.9,65193.3,64871.0,65077.7
1786330800,2026-08-10 03:00,65077.7,65150.0,64875.0,64946.4
1786334400,2026-08-10 04:00,64946.4,65076.4,64892.1,64980.6
1786338000,2026-08-10 05:00,64980.4,65142.1,64952.3,65117.1
1786341600,2026-08-10 06:00,65117.2,65313.2,65104.1,65273.2
1786345200,2026-08-10 07:00,65273.1,65348.4,65173.1,65183.0
1786348800,2026-08-10 08:00,65183.0,65306.9,65160.2,65220.6
1786352400,2026-08-10 09:00,65220.6,65220.7,64928.0,64941.1
1786356000,2026-08-10 10:00,64941.0,65053.3,64939.5,64988.7
1786359600,2026-08-10 11:00,64988.8,65108.4,64950.0,65097.6
1786363200,2026-08-10 12:00,65097.5,65221.2,64812.6,64838.3
1786366800,2026-08-10 13:00,64838.3,64942.5,64482.1,64533.7
1786370400,2026-08-10 14:00,64533.6,64856.7,64510.0,64594.5
1786374000,2026-08-10 15:00,64594.6,64691.2,64171.8,64268.8
1786377600,2026-08-10 16:00,64268.7,64330.0,63808.9,63888.6
1786381200,2026-08-10 17:00,63888.7,64009.0,63810.0,63932.7
1786384800,2026-08-10 18:00,63932.6,64005.4,63788.0,63866.4
1786388400,2026-08-10 19:00,63866.3,64072.8,63859.9,64017.2
1786392000,2026-08-10 20:00,64017.2,64189.3,63989.5,64129.6
1786395600,2026-08-10 21:00,64129.7,64129.7,63946.8,63949.0
